frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1736504530.460757000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.462260000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.463754000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.465248000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.466759000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.468323000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.469971000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.471458000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.472978000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.474476000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.475943000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.477463000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.478966000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.480618000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.482141000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.483754000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.486914000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.488393000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.491000000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.494814000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.496282000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.498691000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.500212000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.513769000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.517737000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.519782000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.521579000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.523398000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.524970000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.526503000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.528054000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.529600000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.531658000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.533190000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.534712000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.536255000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.539088000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.542062000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.543762000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.545263000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.546942000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.548443000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.549953000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.551446000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.553115000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.554630000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.556145000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.557701000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.559224000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.560744000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.562428000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.563999000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.565498000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.566998000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.568495000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.569987000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.571528000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.573420000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.574954000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.576499000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.578326000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.580939000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.582412000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.603835000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.605726000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.607332000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.612356000	42	b0:0a:d5:d3:d2:2b	ff:ff:ff:ff:ff:ff									1	b0:0a:d5:d3:d2:2b	192.168.0.1	00:00:00:00:00:00	192.168.0.163		
1736504530.612384000	42	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b									2	68:3e:26:98:82:67	192.168.0.163	b0:0a:d5:d3:d2:2b	192.168.0.1		
1736504530.615164000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.617523000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.619694000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.621705000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.623889000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.627317000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.629358000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.631368000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.633625000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.638230000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.640807000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.643555000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.646914000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.649345000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.651279000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.652944000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.655418000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.656983000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.658848000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.660929000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.663025000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.664888000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.668020000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.669736000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.671531000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.673564000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.676272000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.679238000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
1736504530.683259000	54	68:3e:26:98:82:67	b0:0a:d5:d3:d2:2b	192.168.0.163	192.168.0.1	20	80											
